artist_name,track_name,release_date,genre,lyrics
Dance Gavin Dance,Young Robot,2016,Screamo,"“Young Robot” is a prequel to a series of… Read More [Intro: Tilian] This time, won't blame myself It's been a long time coming, been a long time coming This time I know you well It's been a long time coming, been a long time coming Follow me, they're gonna follow 'Cause I'm on the inside and they're on the outside waiting This time I know myself It's been a long time coming, been a long time coming [Verse 1: Tilian, Jon Mess] Don't worry, no You don't have to bear your soul about it, no Go away, you can't stay You got no more reasons left to come my way Go away, you can't stay You got no more reasons left to come my way [Pre-Chorus: Jon Mess] Brain, robot wang Gonna slang through the tang I-8764, the sex assistant I-8764, it's no commitment [Chorus: Tilian] She said ""Drink that love, don't demand it 'Cause baby, I can't stand it when you look so pathetic"" But I can't stop with the rhythm of it ""Drink that love, it's like a habit"" Feeling like a savage, you know I gotta have it Ah, I gotta have it all [Verse 2: Jon Mess, Tilian] I wish I didn't miss this Ah-ah, I gotta have it all They call me hedonistic Can't stop with the rhythm, gotta have it all I make them kiss they sistas Ah-ah, I gotta have it all He flips his black ass robot hair [Chorus: Tilian] She said ""Drink that love, don't demand it 'Cause baby, I can't stand it when you look so pathetic"" But I can't stop with the rhythm of it ""Drink that love, it's like a habit"" Feeling like a savage, you know I gotta have it Ah, I gotta have it all [Bridge: Tilian] Ooh-ooh, whoa-oh-oh-oh Ooh-ooh, whoa-oh-oh-oh You're on another planet Ooh-ooh, whoa-oh-oh-oh Ooh-ooh, whoa-oh-oh-oh You're on another planet [Outro: Tilian] Follow me, they're gonna follow 'Cause I'm on the inside and they're on the outside waiting This time I know myself It's been a long time coming, been a long time coming"
Story Of The Year,Wake Up,2008,Screamo,"We are alive for a moment One second in the great abyss of time All the bleedin', all the hate Just one blink of an eye All the conflicts, it visits dire pain on human life Are we missing what it is to be alive? [Pre-Chorus] One by one the pieces fall Until our pride defeats us all We learn to live without it [Chorus] Wake up To the sound of this time bomb Wake up To its deafening song Wake up Cause you don't know what you've got until it's gone Until it's gone [Verse 2] Our innocence is a virtue But our arrogance will only leave us blind Unattended without anyone to save our idle lives Will we find out that everything we know exists inside of a fraction Of a fraction [Pre-Chorus] One by one the pieces fall again [Chorus] Wake up To the sound of this time bomb Wake up To its deafening song Wake up Cause you don't know what you've got until it's gone Until it's gone [Chorus] Wake up To the sound of this time bomb Wake up To its deafening song Wake up Cause you don't know what you've got until it's gone Until it's gone [Bridge] One by one the pieces fall Until our pride defeats us all Yeah! [Pre-Chorus] One by one the pieces fall (one by one the pieces fall) Until our pride defeats us all Defeats us all! Yeah! [Chorus] Wake up To the sound of this time bomb Wake up To its deafening song Wake up Cause you don't know what you've got until it's gone Until it's gone [Chorus] Wake up To the sound of this time bomb Wake up To its deafening song Wake up Cause you don't know what you've got until it's gone Until it's gone [Outro] It's gone away Yeah"
A Day To Remember,I Remember,2013,Screamo,"I'd never wish any of this on anyone or anything Aw come on, you gotta try and look at things like me I never needed anything I got I never keep anything I have, what do I have? Mostly things that'll never last Then I think back... [Chorus] I remember when I first saw the country I remember sleeping in the van Said goodbye to friends and family cause they could never understand I remember jumping off of cliff tops I remember playing with no one there Yeah I knew if I became successful it wouldn't change who I am cause where I've been Cause where I've been [Verse 2] They wonder why I hide myself from everyone From everything, man come on You wouldn't last a day as me Everyone loves me for my past, but they always hate me in the present Why can't you just meet me somewhere in the middle? It's in the hardest times we grow the most [Chorus] I remember when I first saw the country I remember sleeping in the van Said goodbye to friends and family cause they could never understand I remember jumping off of cliff tops I remember playing with no one there Yeah I knew if I became successful it wouldn't change who I am cause where I've been Cause where I've been [Verse 3] Speeding up, to slow down Side glances around this crowd all at me There must be something I can't see, so tell me Hold me up, help me out As I circle around what makes me happy There isn't one place that I can be without leaving This is my life [Pre-Outro] I remember when I first saw the country I remember sleeping in the van Said goodbye to friends and family, cause they could never understand They don't understand They don't understand [Outro] I remember jumping off of cliff tops I remember playing with no one there Yeah I knew if I became successful it wouldn't change who I am I remember the coast of California I remember trucks stops cross the land Never kept too many idols cause we were busy being them I remember waking up in Georgia. I remember quitting my last job Yeah I knew if I became successful it wouldn't change who I was, where I've been Cause where I've been"
A Day To Remember,Leave All The Lights On,2013,Screamo,"Guess things didn't go the way that you planned I missed the days when you would understand The way that I am You have me feeling lonely and detached Every time I'm moving forward We take two steps back I need to have a moment to myself County lines, clear my mind with someplace else Besides this stairwell Alone and on the road, I'm overwhelmed I need to find the difference in how I feel and how I felt [Chorus] Leave all the lights on And maybe I'll find my way back home Leave all the lights on I took this drive to be alone Leave all the lights on [Verse 2] I wish I could get back to the way things were When we were young, having fun, so self assured But now that's all a blur I miss the way we always used to talk Now we talk ourselves in circle till we forget why we fought [Chorus] Leave all the lights on And maybe I'll find my way back home Leave all the lights on I took this drive to be alone Leave all the lights on [Bridge] If I'm not worth letting go Leave all the lights on If you still care I need to know Leave all the lights on Yeah [Verse 3] This gets me so down down down Why can't we work it out? can't we work it out? This makes me so down down down I've been trying to see, if you were meant for me You get me so down down down, I'm gonna turn this car around Just know that it's the last time Ya it's the last time [Outro] Leave all the lights on And maybe I'll find my way back home Leave all the lights on I took this drive to be alone Leave all the lights on If I'm not worth letting go Leave all the lights on, if you still cared I need to know Leave all the lights on Guess things didn't go the way that you planned"
Sleeping With Sirens,We Like It Loud,2015,Screamo,"Yeah! Yo Zakk! Turn up my fucking headphones! Yeah [Verse 1] What's the point of ever starting this? Why even put my heart in it? You see us as a waste of time Saying ""Give up now, you're gonna fall behind"" No! I just can't stop You talk the game But can you walk the walk? When ash is ashes And dust is dirt I'm gonna be the one that's gonna make you hurt [Pre-Chorus] Sell us the world but we ain't selling out [Chorus] Said we like it loud Yeah we want that rock and roll sound No, don't wanna hear no songs on the radio Pump it through my stereo now Yeah I said we like it loud Turn it up Don't ever turn me down No don't wanna hear another song on the radio Pump it through my stereo now now now I said we like it loud [Verse 2] Yeah, louder than this (We get pissed?) See a whole revolution of these fucked up kids And all it takes is one So it starts like this No! You've gone way too far We won't give up or let it fall apart When ash is ashes And dust is dirt We're gonna be the one that's gonna make you hurt [Pre-Chorus] Sell us the world but we ain't selling out [Chorus] Said we like it loud Yeah we want that rock and roll sound No, don't wanna hear no songs on the radio Pump it through my stereo now Yeah I said we like it loud Turn it up Don't ever turn me down No don't wanna hear another song on the radio Pump it through my stereo now now now I said we like it loud [Outro] We like it loud Yeah we like it loud We like it loud I said we like it loud"
"Fear, and Loathing in Las Vegas",Party Boys,2015,Screamo,"We have confidence to make You guys, guys, you guys enjoy For this day, we have worked so hard Nobody can stop No one can stop us We are gonna make you All say (we) are the number one! ah! Your bodies will move once you hear our sound This place will soon turn into turn into mad(ness) Make noise, right now, you all Woh-oh-oh-oh-oh-oh-oh Woh-oh-oh-oh-oh-oh-oh Raise your fuckin voices Burning Burning soul of you Ready to get (it)? Come on right now Lets go! Fuck it, suck it For you to For you to not stop anywhere We're gonna show you the sound, show you the sound Nobody can imigate What we do Pa pa party night Here is the new sound and new style Check it out Yeah Can't be put into any genre any genre Here is the shit Sound made in Kobe Oh, Break Down Hey, you! Who is looking bored Imma roll you in so watch You are gonna shake it now Hey bring it on Nothings gonna be Disturbing Myself to be proud Can't be imitating What is already here Something... Looking for New stuff so I'm gonna do it now We are gonna make it, the sound that only We can beat Alright, now that I'm here This place is gonna liven up No one thing is (do it) Gonna stop me (do it) We are gonna dye here into our color Let's make it with us Bring it on! (bring it on) Bring it on! (bring it on) You and I are (the) protagonists Party it up! Fake ones fuck off Fake ones fuck it off You make me sick Go home and go to bed Get away Get away Fake ones fuck off Fake ones fuck it off Nothings gonna be disturbing Myself to be proud Can't be imitating what is already here Something... Looking for new stuff so I'm gonna do it now We are gonna make it the beat of ours It's never easy What we are trying to do can only be achieved a small portion So we're gonna do it We are gonna become the only one Open your eyes and watch us We are (the) genuine Let us keep going now Pay pay attention! Still not enough, man? Don't you be so tired Still not enough party it up oh Yeah Party it up oh! VAP Pa-pa-pa-pa-party night there is the only kind of beat and step We're not not not gonna let let let You go without getting fucked up Dancing time, can't stop us Further one are... Oh gonna make you shake it now Yeah, yeah"
Silverstein,Your Sword Versus My Dagger,2005,Screamo,"The track is a pure reference to the tragedy “Romeo and… Read More [Verse 1] I'm cutting through, you're bleeding out And I would tell the truth, but I can't help myself Red rushes out, dissect this nerve And I'll stop myself before I reach my cell [Chorus] I wasn't asking for the world And you know that I'm not one to follow through All these city streets, the people look the same And I can see your face and I can hear your name I wasn't asking for the world [Verse 2] You're stabbing in, permanent scars And you'll justify it all inside yourself You've finished me, my pulse is gone And you're satisfied to put this all to hell [Chorus] I wasn't asking for the world And you know that I'm not one to follow through All these city streets, the people look the same And I can see your face and I can hear your name I wasn't asking for the world [Bridge] Drink the poison when you think it's over Stabbing yourself, when you think it's too late Tragic endings are your thing, you love them You love letting go, the ending's the same Drink the poison when you think it's over Inevitable, Verona lives inside of you [Chorus] I wasn't asking for the world And you know that I'm not one to follow through All these city streets, the people look the same And I can see your face and I can hear your name I wasn't asking for the world"
Pierce The Veil,Karma Police - triple j Like A Version,2023,Screamo,"Karma police, arrest this man, he talks in maths He buzzes like a fridge, he's like a detuned radio Karma police, arrest this girl (Ah) Her Hitler hairdo is making me feel ill And we have crashed her party (Ah) [Chorus] This is what you'll get This is what you'll get This is what you'll get When you mess with us [Verse 2] Karma police, I've given all I can (Ah), it's not enough I've given all I can, but we're still on the payroll (Ah) Oh [Chorus] This is what you'll get This is what you'll get This is what you'll get When you mess with us [Outro] For a minute there I lost myself, I lost myself Phew, for a minute there I lost myself, I lost myself Oh, a minute there I lost myself, I lost myself Phew, for a minute there I lost myself, I lost myself"
Dance Gavin Dance,Feels Bad Man,2022,Screamo,"Whoa, you're alive Do you ever really stop and wonder why? Is your soul fortified By the tiny twinkling light inside your eyes? Whoa, another night Should you live with your regrets or just get high? [Chorus: Jon Mess] Feels bad man The up and down of the emotion broke my loading hands Replaced my legs with sleepy pants They make me smoke fifty grams I don't pander, mandible clamper, setting a standard You can't touch my precious glow I don't care about answers, no [Post-Chorus: Tilian] Tell yourself a story, life is pretty boring See you in the morning, let your worries drown Like chlorine, keep the liquor pouring Flap until you're soaring, let your heroes down [Verse 2: Jon Mess] Well, I think I've seen enough But I hoped this trip would come and save me My life ain't bad enough, so I scratch this itch, incinerate me Heart pours the core of my flex, the lord in my step The organ it plays through Time blows the horn in my chest, I'm boarding my jet The plane that I came to Brain brimming through a sea of bats They're nipping chords and spinning webs of rhythm as they flap Are you decalcified but stupid high? Still sad after sex? Did you realize that all this time, your crown was just a hat? [Bridge: Tilian] Whoa, soul divine Is there anything out there to dull your shine? Bump bump bump bump, boom Ten hundred times 'Til one day you wake up and you feel alright Bump bump bump bump, boom Ten thousand times 'Til one day you wake up and you're out of time [Chorus:Jon Mess] Feels bad man The up and down of the emotion broke my loading hands Replaced my legs with sleepy pants They make me smoke fifty grams I don't pander, mandible clamper, setting a standard You can't touch my precious glow I don't care about answers, no [Outro: Jon Mess, Tilian, Jon Mess & Tilian] Don't care about answers Don't care about answers, no You can touch my precious glow I don't care about answers, no Don't care about answers, no"
Senses Fail,Choke on This,2004,Screamo,"Half smoked cigarettes and you're the trash that infests my sheets Can't make a wife out of a whore, don't want your skin on me [Pre-Chorus] And you're, you're addicted to the drug of lust Detoxing the cold sweat of shame, and I love your pain [Chorus] I'd give you these roses now but I'm left in the thorns I'd rather hurt someone than hurt myself I'll dispose of you like a lighter out of fuel I'll lose you somewhere on a dusty shelf [Verse 2] So this love's been worn down like songs on a tape The sex has lost all of its fun like gum loses taste [Pre-Chorus] And you're, you're addicted to the drug of lust Detoxing the cold sweat of shame, and I love your pain [Chorus] I'd give you these roses now but I'm left in the thorns I'd rather hurt someone than hurt myself I'll dispose of you like a lighter out of fuel I'll lose you somewhere on a shelf [Bridge] I'm here lying in your bed babe Remember what you said to me? ""You can be my James Dean, I'll be your sweet queen."" I said that you were my first But you weren't even close now Like a frame in a movie you're just one of many Can you grant me one last wish? Play russian roulette as we kiss I'll be your cheap novelty Blow your brains out on me [Chorus] I'd give you these roses now but I'm left in the thorns I'd rather hurt someone than hurt myself I'll dispose of you like a lighter out of fuel I'll lose you somewhere on the shelf"
Phonefoot,real spill,2023,Screamo,"Hitting nails in halfway Letting everything slip To hope it all goes my way This world is, too big To get my head, wrapped around And I still Hear the sound of you Taking it all away All I want, is one day All I want, is one day All I want, is one day You’re one to complain About the noise in your brain You’re one to complain About the noise in your brain When I’m sinking, will you reach out, to me And offer your hand I promise l’ll do all I can If you stay I know it won’t happen again I’ll depart, from what you see Away from everything you're scared I’m gonna be Don’t forget about the things we have Forget about the things we have Forget about the things we have Forget about the things we have What I’m, taking on What I’m, taking on What I’m, taking on What I’m, taking on Hey, hey, hey. Um, thank you for listening to the album, guys. Um, my name is Jordan, I give this song-- er, album two thumbs up! Uh, hopefully you have a great rest of the year, and a great rest of your lives.​"
Matchbook Romance,My Eyes Burn,2003,Screamo,"My eyes burn from these tears You'd think I'd learn over these years Good things won't last forever So what the hell am I supposed to do? You only wanted the things I couldn't give to you And you had it all anyway [Chorus: Andrew] So take, take everything and leave me scrambling Reaching for something that wasn't there in the first place So take, take everything and leave me scrambling Reaching for something that wasn't there in the first place [Post-Chorus: Andrew, Andrew and Judas] Tell me I'm wrong when I say I can't expect you to spend forever with me I live for that single moment [Verse 2: Andrew, Andrew with Judas, Judas] I take back everything I've said You wore those words (those words) on your lips As if they (as if they) meant anything anyway Sometimes I feel I could drop off the face of the earth It seems I do more harm than good And I don't know if it's worth me losing sleep over this [Chorus] So take, take everything and leave me scrambling Reaching for something that wasn't there in the first place So take, take everything and leave me scrambling Reaching for something that wasn't there in the first place [Instrumental Bridge] [Post-Chorus: Andrew, Andrew and Judas] Tell me I'm wrong when I say I can't expect you to spend forever with me I live for that single moment [Chorus: Andrew, Ryan] So take, take everything (take, take) and leave me scrambling (take, take) Reaching for something that wasn't there in the first place So take, take everything (take, take) and leave me scrambling (take, take) Reaching for something that wasn't there in the first place [Outro: Andrew, Judas, both] So take, take everything and leave me scrambling (There in the first place, there in the first place) Reaching for something that wasn't there in the first place So take, take everything and leave me scrambling (There in the first place) Reaching for something that wasn't there in the first place"
